"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-01","0.00","T,,0,2400","29",",,0","13",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-02","0.00","T,,0,2400","23",",,0","8",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-03","0.00",",,0,2400","34",",,0","11",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-04","0.00",",,0,2400","45",",,0","28",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-05","0.00","T,,0,2400","58",",,0","43",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-06","0.00",",,0,2400","73",",,0","56",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-07","0.00","T,,0,2400","73",",,0","53",",,0",,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-08","1.56",",,0,2400","66",",,0","37",",,0","    1",",,0",,,"    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-09","0.00",",,0,2400","45",",,0","32",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-10","0.11",",,0,2400","46",",,0","33",",,0","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,,,,,"    1",",,X",,,"    1",",,0",,,"    1",",,0",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-11","0.00",",,0,2400","44",",,0","29",",,0",,,,,,,,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-12","0.00",",,0,2400","54",",,0","29",",,0",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2008-01-13","0.00","T,,0,2400","35",",,0","28",",,0",,,,,,,,,,,,,,,"    1",",,W",,,,,,,,,,,,,,,,,"    1",",,0",,
