"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-01","0.00",",,W,2400","9",",,W","-6",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-02","0.00",",,W,2400","19",",,W","-1",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-03","0.00","T,,W,2400","27",",,W","8",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-04","0.00","T,,W,2400","18",",,W","3",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-05","0.00","T,,W,2400","20",",,W","8",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-06","0.00",",,W,2400","21",",,W","4",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-07","0.35",",,W,2400","39",",,W","19",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-08","0.00","T,,W,2400","37",",,W","31",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-09","0.00","T,,W,2400","38",",,W","30",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-10","0.00","T,,W,2400","59",",,W","38",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-11","0.04",",,W,2400","65",",,W","17",",,W","    1",",,W",,,,,"    1",",,W","    1",",,W",,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-12","0.00","T,,W,2400","18",",,W","13",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-13","0.00",",,W,2400","23",",,W","13",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-14","0.01",",,W,2400","27",",,W","14",",,W",,,,,,,,,,,"    1",",,W"
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-15","0.06",",,W,2400","29",",,W","5",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-16","0.00","T,,W,2400","11",",,W","-1",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-17","0.00","T,,W,2400","25",",,W","3",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-18","0.00",",,W,2400","46",",,W","19",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-19","0.00",",,W,2400","57",",,W","25",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-20","0.00",",,W,2400","60",",,W","30",",,W",,,,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-21","0.00","T,,W,2400","69",",,W","36",",,W","    1",",,W",,,,,,,,,,
"USW00013994","ST LOUIS LAMBERT INTERNATIONAL AIRPORT, MO US","2018-01-22","0.76",",,W,2400","62",",,W","36",",,W","    1",",,W",,,"    1",",,W",,,,,,
